Nro.;Cód;Título;Herramienta;Subtítulo
116;01-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Reingeniería de Procesos;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/1.png
117;02-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Gestión de la Cadena de Suministro;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/2.png
118;03-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Planificación de Escenarios;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/3.png
119;04-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Planificación Estratégica;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/4.png
120;05-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Experiencia del Cliente;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/5.png
121;06-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Calidad Total;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/6.png
122;07-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Propósito y Visión;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/7.png
123;08-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Benchmarking;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/8.png
124;09-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Competencias Centrales;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/9.png
125;10-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Cuadro de Mando Integral;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/10.png
126;11-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Alianzas y Capital de Riesgo;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/11.png
127;12-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Outsourcing;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/12.png
128;13-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Segmentación de Clientes;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/13.png
129;14-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Fusiones y Adquisiciones;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/14.png
130;15-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Gestión de Costos;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/15.png
131;16-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Presupuesto Base Cero;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/16.png
132;17-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Estrategias de Crecimiento;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/17.png
133;18-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Gestión del Conocimiento;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/18.png
134;19-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Gestión del Cambio;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/19.png
135;20-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Optimización de Precios;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/20.png
136;21-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Lealtad del Cliente;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/21.png
137;22-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Innovación Colaborativa;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/22.png
138;23-IC;Informe complementario: Análisis estadístico comparativo multifuente para;Talento y Compromiso;Panorama estadístico: Convergencia de tendencias y correlaciones de métricas del ecosistema de datos (cinco fuentes);IC-Portada;IC-Portada/23.png
